first_name,last_name,year_of_birth,name_raw,party,electorate,state,years_in_office,approx_age
Llew,O'Brien,1972,"Llew O'Brien
(born 1972)",National[a],Wide Bay,Qld,2016–current,53
Ted,O'Brien,1974,"Ted O'Brien
(born 1974)",Liberal[b],Fairfax,Qld,2016–current,51
Clare,O'Neil,1980,"Clare O'Neil
(born 1980)",Labor,Hotham,Vic,2013–current,45
Tony,Pasin,1977,"Tony Pasin
(born 1977)",Liberal,Barker,SA,2013–current,48
Alicia,Payne,1982,"Alicia Payne
(born 1982)",Labor,Canberra,ACT,2019–current,43
Alison,Penfold,NA,"Alison Penfold
(born ?)",National,Lyne,NSW,2025–current,NA
Fiona,Phillips,1970,"Fiona Phillips
(born 1970)",Labor,Gilmore,NSW,2019–current,55
Henry,Pike,1987,"Henry Pike
(born 1987)",Liberal[b],Bowman,Qld,2022–current,38
Tanya,Plibersek,1969,"Tanya Plibersek
(born 1969)",Labor,Sydney,NSW,1998–current,56
Melissa,Price,1963,"Melissa Price
(born 1963)",Liberal,Durack,WA,2013–current,62
Sam,Rae,1986,"Sam Rae
(born 1986)",Labor,Hawke,Vic,2022–current,39
Leon,Rebello,1995,"Leon Rebello
(born 1995)",Liberal[b],McPherson,Qld,2025–current,30
Gordon,Reid,1992,"Gordon Reid
(born 1992)",Labor,Robertson,NSW,2022–current,33
Dan,Repacholi,1982,"Dan Repacholi
(born 1982)",Labor,Hunter,NSW,2022–current,43
Amanda,Rishworth,1978,"Amanda Rishworth
(born 1978)",Labor,Kingston,SA,2007–current,47
Tracey,Roberts,NA,"Tracey Roberts
(born ?)",Labor,Pearce,WA,2022–current,NA
Michelle,Rowland,1971,"Michelle Rowland
(born 1971)",Labor,Greenway,NSW,2010–current,54
Joanne,Ryan,1961,"Joanne Ryan
(born 1961)",Labor,Lalor,Vic,2013–current,64
Monique,Ryan,1967,"Monique Ryan
(born 1967)",Independent,Kooyong,Vic,2022–current,58
Sophie,Scamps,1971,"Sophie Scamps
(born 1971)",Independent,Mackellar,NSW,2022–current,54
Marion,Scrymgour,1960,"Marion Scrymgour
(born 1960)",Labor,Lingiari,NT[c],2022–current,65
Rebekha,Sharkie,1972,"Rebekha Sharkie
(born 1972)",Centre Alliance,Mayo,SA,2016–2018;2018–current,53
Sally,Sitou,1982,"Sally Sitou
(born 1982)",Labor,Reid,NSW,2022–current,43
Ben,Small,1988,"Ben Small
(born 1988)",Liberal,Forrest,WA,2025–current,37
David,Smith,1970,"David Smith
(born 1970)",Labor,Bean,ACT[d],2019–current,55
Matt,Smith,1979,"Matt Smith
(born 1979)",Labor,Leichhardt,Qld,2025–current,46
Zhi,Soon,NA,"Zhi Soon
(born ?)",Labor,Banks,NSW,2025–current,NA
Allegra,Spender,1978,"Allegra Spender
(born 1978)",Independent,Wentworth,NSW,2022–current,47
Anne,Stanley,1961,"Anne Stanley
(born 1961)",Labor,Werriwa,NSW,2016–current,64
Zali,Steggall,1974,"Zali Steggall
(born 1974)",Independent,Warringah,NSW,2019–current,51
Meryl,Swanson,1970,"Meryl Swanson
(born 1970)",Labor,Paterson,NSW,2016–current,55
Angus,Taylor,1966,"Angus Taylor
(born 1966)",Liberal,Hume,NSW,2013–current,59
Jess,Teesdale,NA,"Jess Teesdale
(born ?)",Labor,Bass,Tas,2025–current,NA
Dan,Tehan,1968,"Dan Tehan
(born 1968)",Liberal,Wannon,Vic,2010–current,57
Susan,Templeman,1963,"Susan Templeman
(born 1963)",Labor,Macquarie,NSW,2016–current,62
Matt,Thistlethwaite,1972,"Matt Thistlethwaite
(born 1972)",Labor,Kingsford Smith,NSW,2013–current,53
Phillip,Thompson,1988,"Phillip Thompson
(born 1988)",Liberal[b],Herbert,Qld,2019–current,37
Kate,Thwaites,1980,"Kate Thwaites
(born 1980)",Labor,Jagajaga,Vic,2019–current,45
Anne,Urquhart,1957,"Anne Urquhart
(born 1957)",Labor,Braddon,Tas,2025–current,68
Tom,Venning,NA,"Tom Venning
(born ?)",Liberal,Grey,SA,2025–current,NA
Aaron,Violi,1984,"Aaron Violi
(born 1984)",Liberal,Casey,Vic,2022–current,41
Andrew,Wallace,1968,"Andrew Wallace
(born 1968)",Liberal[b],Fisher,Qld,2016–current,57
Elizabeth,Watson-Brown,1956,"Elizabeth Watson-Brown
(born 1956)",Greens,Ryan,Qld,2022–current,69
Tim,Watts,1982,"Tim Watts
(born 1982)",Labor,Gellibrand,Vic,2013–current,43
Anne,Webster,1959,"Anne Webster
(born 1959)",National,Mallee,Vic,2019–current,66
Anika,Wells,1985,"Anika Wells
(born 1985)",Labor,Lilley,Qld,2019–current,40
Rebecca,White,1983,"Rebecca White
(born 1983)",Labor,Lyons,Tas,2025–current,42
Andrew,Willcox,1969,"Andrew Willcox 
(born 1969)",National[a],Dawson,Qld,2022–current,56
Andrew,Wilkie,1961,"Andrew Wilkie
(born 1961)",Independent,Clark,Tas,2010–current,64
Josh,Wilson,1972,"Josh Wilson
(born 1972)",Labor,Fremantle,WA,2016–2018;2018–current,53
Rick,Wilson,1966,"Rick Wilson
(born 1966)",Liberal,O'Connor,WA,2013–current,59
Tim,Wilson,1980,"Tim Wilson
(born 1980)",Liberal,Goldstein,Vic,2016–2022;2025–current,45
Sarah,Witty,1972,"Sarah Witty
(born 1972)",Labor,Melbourne,Vic,2025–current,53
Jason,Wood,1968,"Jason Wood
(born 1968)",Liberal,La Trobe,Vic,2004–2010;2013–current,57
Terry,Young,1968,"Terry Young
(born1968)",Liberal,Longman,Qld,2019-current,57
Tony,Zappia,1952,"Tony Zappia
(born 1952)",Labor,Makin,SA,2007–current,73
